PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ship
2,1,1.0,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,PC 17599,"71,2833",C85,C,Titanic
4,1,1.0,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,113803,"53,1",C123,S,Titanic
7,0,1.0,"McCarthy, Mr. Timothy J",male,54,0,0,17463,"51,8625",E46,S,Titanic
12,1,1.0,"Bonnell, Miss. Elizabeth",female,58,0,0,113783,"26,55",C103,S,Titanic
22,1,2.0,"Beesley, Mr. Lawrence",male,34,0,0,248698,13,D56,S,Titanic
28,0,1.0,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,263,C23 C25 C27,S,Titanic
32,1,1.0,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,9.0,1,0,PC 17569,"146,5208",B78,C,Titanic
53,1,1.0,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0,PC 17572,"76,7292",D33,C,Titanic
55,0,1.0,"Ostby, Mr. Engelhart Cornelius",male,65,0,1,113509,"61,9792",B30,C,Titanic
63,0,1.0,"Harris, Mr. Henry Birkhardt",male,45,1,0,36973,"83,475",C83,S,Titanic
67,1,2.0,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0,C.A. 29395,"10,5",F33,S,Titanic
76,0,3.0,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,"7,65",F G73,S,Titanic
89,1,1.0,"Fortune, Miss. Mabel Helen",female,23,3,2,19950,263,C23 C25 C27,S,Titanic
93,0,1.0,"Chaffee, Mr. Herbert Fuller",male,46,1,0,W.E.P. 5734,"61,175",E31,S,Titanic
97,0,1.0,"Goldschmidt, Mr. George B",male,71,0,0,PC 17754,"34,6542",A5,C,Titanic
98,1,1.0,"Greenfield, Mr. William Bertram",male,23,0,1,PC 17759,"63,3583",D10 D12,C,Titanic
103,0,1.0,"White, Mr. Richard Frasar",male,21,0,1,35281,"77,2875",D26,S,Titanic
111,0,1.0,"Porter, Mr. Walter Chamberlain",male,47,0,0,110465,52,C110,S,Titanic
119,0,1.0,"Baxter, Mr. Quigg Edmond",male,24,0,1,PC 17558,"247,5208",B58 B60,C,Titanic
124,1,2.0,"Webber, Miss. Susan",female,"32,5",0,0,27267,13,E101,S,Titanic
125,0,1.0,"White, Mr. Percival Wayland",male,54,0,1,35281,"77,2875",D26,S,Titanic
137,1,1.0,"Newsom, Miss. Helen Monypeny",female,19,0,2,11752,"26,2833",D47,S,Titanic
138,0,1.0,"Futrelle, Mr. Jacques Heath",male,37,1,0,113803,"53,1",C123,S,Titanic
140,0,1.0,"Giglio, Mr. Victor",male,24,0,0,PC 17593,"79,2",B86,C,Titanic
149,0,2.0,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,"36,5",0,2,230080,26,F2,S,Titanic
152,1,1.0,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,113776,"66,6",C2,S,Titanic
171,0,1.0,"Van der hoef, Mr. Wyckoff",male,61,0,0,111240,"33,5",B19,S,Titanic
175,0,1.0,"Smith, Mr. James Clinch",male,56,0,0,17764,"30,6958",A7,C,Titanic
178,0,1.0,"Isham, Miss. Ann Elizabeth",female,50,0,0,PC 17595,"28,7125",C49,C,Titanic
184,1,2.0,"Becker, Master. Richard F",male,1,2,1,230136,39,F4,S,Titanic
194,1,2.0,"Navratil, Master. Michel M",male,3,1,1,230080,26,F2,S,Titanic
195,1,1.0,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,0,PC 17610,"27,7208",B4,C,Titanic
196,1,1.0,"Lurette, Miss. Elise",female,58,0,0,PC 17569,"146,5208",B80,C,Titanic
206,0,3.0,"Strom, Miss. Telma Matilda",female,2,0,1,347054,"10,4625",G6,S,Titanic
210,1,1.0,"Blank, Mr. Henry",male,40,0,0,112277,31,A31,C,Titanic
216,1,1.0,"Newell, Miss. Madeleine",female,31,1,0,35273,"113,275",D36,C,Titanic
219,1,1.0,"Bazzani, Miss. Albina",female,32,0,0,11813,"76,2917",D15,C,Titanic
231,1,1.0,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,0,36973,"83,475",C83,S,Titanic
246,0,1.0,"Minahan, Dr. William Edward",male,44,2,0,19928,-90,C78,Q,Titanic
249,1,1.0,"Beckwith, Mr. Richard Leonard",male,37,1,1,11751,"52,5542",D35,S,Titanic
252,0,3.0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,1,347054,"10,4625",G6,S,Titanic
253,0,1.0,"Stead, Mr. William Thomas",male,62,0,0,113514,"26,55",C87,S,Titanic
258,1,1.0,"Cherry, Miss. Gladys",female,30,0,0,110152,"86,5",B77,S,Titanic
263,0,1.0,"Taussig, Mr. Emil",male,52,1,1,110413,"79,65",E67,S,Titanic
264,0,1.0,"Harrison, Mr. William",male,40,0,0,112059,0,B94,S,Titanic
269,1,1.0,"Graham, Mrs. William Thompson (Edith Junkins)",female,58,0,1,PC 17582,"153,4625",C125,S,Titanic
270,1,1.0,"Bissette, Miss. Amelia",female,35,0,0,PC 17760,"135,6333",C99,S,Titanic
274,0,1.0,"Natsch, Mr. Charles H",male,37,0,1,PC 17596,"29,7",C118,C,Titanic
276,1,1.0,"Andrews, Miss. Kornelia Theodosia",female,63,1,0,13502,"77,9583",D7,S,Titanic
292,1,1.0,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,0,11967,"91,0792",B49,C,Titanic
293,0,2.0,"Levy, Mr. Rene Jacques",male,36,0,0,SC/Paris 2163,"12,875",D,C,Titanic
298,0,1.0,"Allison, Miss. Helen Loraine",female,2,1,2,113781,"151,55",C22 C26,S,Titanic
300,1,1.0,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,0,1,PC 17558,"247,5208",B58 B60,C,Titanic
306,1,1.0,"Allison, Master. Hudson Trevor",male,"0,92",1,2,113781,"151,55",C22 C26,S,Titanic
308,1,1.0,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17,1,0,PC 17758,"108,9",C65,C,Titanic
310,1,1.0,"Francatelli, Miss. Laura Mabel",female,30,0,0,PC 17485,"56,9292",E36,C,Titanic
311,1,1.0,"Hays, Miss. Margaret Bechstein",female,24,0,0,11767,"83,1583",C54,C,Titanic
312,1,1.0,"Ryerson, Miss. Emily Borie",female,18,2,2,PC 17608,"262,375",B57 B59 B63 B66,C,Titanic
319,1,1.0,"Wick, Miss. Mary Natalie",female,31,0,2,36928,"164,8667",C7,S,Titanic
320,1,1.0,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40,1,1,16966,"134,5",E34,C,Titanic
326,1,1.0,"Young, Miss. Marie Grice",female,36,0,0,PC 17760,"135,6333",C32,C,Titanic
328,1,2.0,"Ball, Mrs. (Ada E Hall)",female,36,0,0,28551,13,D,S,Titanic
330,1,1.0,"Hippach, Miss. Jean Gertrude",female,16,0,1,111361,"57,9792",B18,C,Titanic
332,0,1.0,"Partner, Mr. Austen",male,"45,5",0,0,113043,"28,5",C124,S,Titanic
333,0,1.0,"Graham, Mr. George Edward",male,38,0,1,PC 17582,"153,4625",C91,S,Titanic
337,0,1.0,"Pears, Mr. Thomas Clinton",male,29,1,0,113776,"66,6",C2,S,Titanic
338,1,1.0,"Burns, Miss. Elizabeth Margaret",female,41,0,0,16966,"134,5",E40,C,Titanic
340,0,1.0,"Blackwell, Mr. Stephen Weart",male,45,0,0,113784,"35,5",T,S,Titanic
341,1,2.0,"Navratil, Master. Edmond Roger",male,2,1,1,230080,26,F2,S,Titanic
342,1,1.0,"Fortune, Miss. Alice Elizabeth",female,24,3,2,19950,263,C23 C25 C27,S,Titanic
346,1,2.0,"Brown, Miss. Amelia ""Mildred""",female,24,0,0,248733,13,F33,S,Titanic
357,1,1.0,"Bowerman, Miss. Elsie Edith",female,22,0,1,113505,55,E33,S,Titanic
367,1,1.0,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60,1,0,110813,"75,25",D37,C,Titanic
370,1,1.0,"Aubart, Mme. Leontine Pauline",female,24,0,0,PC 17477,"69,3",B35,C,Titanic
371,1,1.0,"Harder, Mr. George Achilles",male,25,1,0,11765,"55,4417",E50,C,Titanic
378,0,1.0,"Widener, Mr. Harry Elkins",male,27,0,2,113503,"211,5",C82,C,Titanic
391,1,1.0,"Carter, Mr. William Ernest",male,36,1,2,113760,120,B96 B98,S,Titanic
394,1,1.0,"Newell, Miss. Marjorie",female,23,1,0,35273,"113,275",D36,C,Titanic
395,1,3.0,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24,0,2,PP 9549,"16,7",G6,S,Titanic
413,1,1.0,"Minahan, Miss. Daisy E",female,33,1,0,19928,90,C78,Q,Titanic
430,1,3.0,"Pickard, Mr. Berk (Berk Trembisky)",male,32,0,0,SOTON/O.Q. 392078,"8,05",E10,S,Titanic
431,1,1.0,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28,0,0,110564,"26,55",C52,S,Titanic
435,0,1.0,"Silvey, Mr. William Baird",male,50,1,0,13507,"55,9",E44,S,Titanic
436,1,1.0,"Carter, Miss. Lucile Polk",female,14,1,2,113760,120,B96 B98,S,Titanic
439,0,1.0,"Fortune, Mr. Mark",male,64,1,4,19950,263,C23 C25 C27,S,Titanic
446,1,1.0,"Dodge, Master. Washington",male,4,0,2,33638,"81,8583",A34,S,Titanic
450,1,1.0,"Peuchen, Major. Arthur Godfrey",male,52,0,0,113786,"30,5",C104,S,Titanic
453,0,1.0,"Foreman, Mr. Benjamin Laventall",male,30,0,0,113051,"27,75",C111,C,Titanic
454,1,1.0,"Goldenberg, Mr. Samuel L",male,49,1,0,17453,"89,1042",C92,C,Titanic
457,0,1.0,"Millet, Mr. Francis Davis",male,65,0,0,13509,"26,55",E38,S,Titanic
461,1,1.0,"Anderson, Mr. Harry",male,48,0,0,19952,"26,55",E12,S,Titanic
463,0,1.0,"Gee, Mr. Arthur H",male,47,70,0,111320,"38,5",E63,S,Titanic
474,1,2.0,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,23,0,0,SC/AH Basle 541,"13,7917",D,C,Titanic
485,1,1.0,"Bishop, Mr. Dickinson H",male,25,1,0,11967,"91,0792",B49,C,Titanic
487,1,1.0,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35,1,0,19943,90,C93,S,Titanic
488,0,1.0,"Kent, Mr. Edward Austin",male,58,0,0,11771,"29,7",B37,C,Titanic
493,0,1.0,"Molson, Mr. Harry Markland",male,55,0,0,113787,"30,5",C30,S,Titanic
497,1,1.0,"Eustis, Miss. Elizabeth Mussey",female,54,1,0,36947,"78,2667",D20,C,Titanic
499,0,1.0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25,1,2,113781,"151,55",C22 C26,S,Titanic
505,1,1.0,"Maioni, Miss. Roberta",female,16,0,0,110152,"86,5",B79,S,Titanic
506,0,1.0,"Penasco y Castellana, Mr. Victor de Satode",male,18,1,0,PC 17758,"108,9",C65,C,Titanic
513,1,1.0,"McGough, Mr. James Robert",male,36,0,0,PC 17473,"26,2875",E25,S,Titanic
516,0,1.0,"Walker, Mr. William Anderson",male,47,0,0,36967,"34,0208",D46,S,Titanic
517,1,2.0,"Lemore, Mrs. (Amelia Milley)",female,34,0,0,C.A. 34260,"10,5",F33,S,Titanic
524,1,1.0,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44,0,1,111361,"57,9792",B18,C,Titanic
537,0,1.0,"Butt, Major. Archibald Willingham",male,45,0,0,113050,"26,55",B38,S,Titanic
540,1,1.0,"Frolicher, Miss. Hedwig Margaritha",female,22,0,2,13568,"49,5",B39,C,Titanic
541,1,1.0,"Crosby, Miss. Harriet R",female,36,0,2,WE/P 5735,71,B22,S,Titanic
545,0,1.0,"Douglas, Mr. Walter Donald",male,50,1,0,PC 17761,"106,425",C86,C,Titanic
551,1,1.0,"Thayer, Mr. John Borland Jr",male,17,0,2,17421,"110,8833",C70,C,Titanic
557,1,1.0,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48,1,0,11755,"39,6",A16,C,Titanic
559,1,1.0,"Taussig, Mrs. Emil (Tillie Mandelbaum)",female,39,1,1,110413,"79,65",E67,S,Titanic
572,1,1.0,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53,2,0,11769,"51,4792",C101,S,Titanic
573,1,1.0,"Flynn, Mr. John Irwin (""Irving"")",male,36,0,0,PC 17474,"26,3875",E25,S,Titanic
578,1,1.0,"Silvey, Mrs. William Baird (Alice Munger)",female,39,1,0,13507,"55,9",E44,S,Titanic
582,1,1.0,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,39,1,1,17421,"110,8833",C68,C,Titanic
584,0,1.0,"Ross, Mr. John Hugo",male,36,0,0,13049,"40,125",A10,C,Titanic
586,1,1.0,"Taussig, Miss. Ruth",female,18,0,2,110413,"79,65",E68,S,Titanic
588,1,1.0,"Frolicher-Stehli, Mr. Maxmillian",male,60,1,1,13567,"79,2",B41,C,Titanic
592,1,1.0,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,52,1,0,36947,"78,2667",D20,C,Titanic
600,1,1.0,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,49,1,0,PC 17485,"56,9292",A20,C,Titanic
610,1,1.0,"Shutes, Miss. Elizabeth W",female,40,0,0,PC 17582,"153,4625",C125,S,Titanic
619,1,2.0,"Becker, Miss. Marion Louise",female,4,2,1,230136,39,F4,S,Titanic
622,1,1.0,"Kimball, Mr. Edwin Nelson Jr",male,42,1,0,11753,"52,5542",D19,S,Titanic
626,0,1.0,"Sutton, Mr. Frederick",male,61,0,0,36963,"32,3208",D50,S,Titanic
628,1,1.0,"Longley, Miss. Gretchen Fiske",female,21,0,0,13502,"77,9583",D9,S,Titanic
631,1,1.0,"Barkworth, Mr. Algernon Henry Wilson",male,80,0,0,27042,30,A23,S,Titanic
633,1,1.0,"Stahelin-Maeglin, Dr. Max",male,32,0,0,13214,"30,5",B50,C,Titanic
642,1,1.0,"Sagesser, Mlle. Emma",female,24,0,0,PC 17477,"69,3",B35,C,Titanic
646,1,1.0,"Harper, Mr. Henry Sleeper",male,48,1,0,PC 17572,"76,7292",D33,C,Titanic
648,1,1.0,"Simonius-Blumer, Col. Oberst Alfons",male,56,0,0,13213,"35,5",A26,C,Titanic
660,0,1.0,"Newell, Mr. Arthur Webster",male,58,0,2,35273,"113,275",D48,C,Titanic
663,0,1.0,"Colley, Mr. Edward Pomeroy",male,47,0,0,5727,"25,5875",E58,S,Titanic
672,0,1.0,"Davidson, Mr. Thornton",male,31,1,0,F.C. 12750,52,B71,S,Titanic
225,1,1.0,"Hoytt, Mr. Frederick Maxfield",male,38,1,0,19943,90,C93,S,Titanic
680,1,1.0,"Cardeza, Mr. Thomas Drake Martinez",male,36,0,1,PC 17755,"512,3292",B51 B53 B55,C,Titanic
682,1,1.0,"Hassab, Mr. Hammad",male,27,0,0,PC 17572,"76,7292",D49,C,Titanic
690,1,1.0,"Madill, Miss. Georgette Alexandra",female,15,0,1,24160,"211,3375",B5,S,Titanic
691,1,1.0,"Dick, Mr. Albert Adrian",male,31,1,0,17474,57,B20,S,Titanic
699,0,1.0,"Thayer, Mr. John Borland",male,49,1,1,17421,"110,8833",C68,C,Titanic
700,0,3.0,"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,42,0,0,348121,"7,65",F G63,S,Titanic
701,1,1.0,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18,1,0,PC 17757,"227,525",C62 C64,C,Titanic
702,1,1.0,"Silverthorne, Mr. Spencer Victor",male,35,0,0,PC 17475,"26,2875",E24,S,Titanic
708,1,1.0,"Calderhead, Mr. Edward Pennington",male,42,0,0,PC 17476,"26,2875",E24,S,Titanic
711,1,1.0,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,24,0,0,PC 17482,"49,5042",C90,C,Titanic
713,1,1.0,"Taylor, Mr. Elmer Zebley",male,48,1,0,19996,52,C126,S,Titanic
716,0,3.0,"Soholt, Mr. Peter Andreas Lauritz Andersen",male,19,0,0,348124,"7,65",F G73,S,Titanic
717,1,1.0,"Endres, Miss. Caroline Louise",female,38,0,0,PC 17757,"227,525",C45,C,Titanic
718,1,2.0,"Troutt, Miss. Edwina Celia ""Winnie""",female,27,0,0,34218,"10,5",E101,S,Titanic
725,1,1.0,"Chambers, Mr. Norman Campbell",male,27,1,0,113806,"53,1",E8,S,Titanic
731,1,1.0,"Allen, Miss. Elisabeth Walton",female,29,0,0,24160,"211,3375",B5,S,Titanic
738,1,1.0,"Lesurer, Mr. Gustave J",male,35,0,0,PC 17755,"512,3292",B101,C,Titanic
742,0,1.0,"Cavendish, Mr. Tyrell William",male,36,1,0,19877,"78,85",C46,S,Titanic
743,1,1.0,"Ryerson, Miss. Susan Parker ""Suzette""",female,21,2,2,PC 17608,"262,375",B57 B59 B63 B66,C,Titanic
746,0,1.0,"Crosby, Capt. Edward Gifford",male,70,1,1,WE/P 5735,71,B22,S,Titanic
749,0,1.0,"Marvin, Mr. Daniel Warner",male,19,1,0,113773,"53,1",D30,S,Titanic
752,1,3.0,"Moor, Master. Meier",male,6,0,1,392096,"12,475",E121,S,Titanic
760,1,1.0,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",female,33,0,0,110152,"86,5",B77,S,Titanic
764,1,1.0,"Carter, Mrs. William Ernest (Lucile Polk)",female,36,1,2,113760,120,B96 B98,S,Titanic
766,1,1.0,"Hogeboom, Mrs. John C (Anna Andrews)",female,51,1,0,13502,"77,9583",D11,S,Titanic
773,0,2.0,"Mack, Mrs. (Mary)",female,57,0,0,S.O./P.P. 3,"10,5",E77,S,Titanic
780,1,1.0,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,43,0,1,24160,"211,3375",B3,S,Titanic
782,1,1.0,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17,1,0,17474,57,B20,S,Titanic
783,0,1.0,"Long, Mr. Milton Clyde",male,29,0,0,113501,30,D6,S,Titanic
790,0,1.0,"Guggenheim, Mr. Benjamin",male,46,0,0,PC 17593,"79,2",B82 B84,C,Titanic
797,1,1.0,"Leader, Dr. Alice (Farnham)",female,49,0,0,17465,"25,9292",D17,S,Titanic
803,1,1.0,"Carter, Master. William Thornton II",male,11,1,2,113760,120,B96 B98,S,Titanic
807,0,1.0,"Andrews, Mr. Thomas Jr",male,39,0,0,112050,0,A36,S,Titanic
810,1,1.0,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33,1,0,113806,"53,1",E8,S,Titanic
821,1,1.0,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52,1,1,12749,"93,5",B69,S,Titanic
824,1,3.0,"Moor, Mrs. (Beila)",female,27,0,1,392096,"12,475",E121,S,Titanic
836,1,1.0,"Compton, Miss. Sara Rebecca",female,39,1,1,PC 17756,"83,1583",E49,C,Titanic
854,1,1.0,"Lines, Miss. Mary Conover",female,16,0,1,PC 17592,"39,4",D28,S,Titanic
858,1,1.0,"Daly, Mr. Peter Denis",male,51,0,0,113055,"26,55",E17,S,Titanic
863,1,1.0,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,48,0,0,17466,"25,9292",D17,S,Titanic
868,0,-2.0,"Roebling, Mr. Washington Augustus II",male,31,0,0,PC 17590,"50,4958",A24,S,Titanic
872,1,1.0,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47,1,1,11751,"52,5542",D35,S,Titanic
873,0,1.0,"Carlsson, Mr. Frans Olof",male,33,0,0,695,5,B51 B53 B55,S,Titanic
880,1,1.0,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,56,0,1,11767,"83,1583",C50,C,Titanic
888,1,1.0,"Graham, Miss. Margaret Edith",female,19,0,0,112053,30,B42,S,Titanic
890,1,1.0,"Behr, Mr. Karl Howell",male,26,0,0,111369,30,C148,C,Titanic
1000,1,1.0,Mr. Frederick Maxfield Hoyt,male,38,1,0,19943,90,C93,S,Titanic
1143,1,3.0,"Sandstrom, Miss. Marguerite Ru&5$$",female,4,1,1,PP 9549,"16,7",G6,S,Titanic
